Area_Sqft,Bedrooms,Bathrooms,House_Age,Distance_To_City,Location_Score,Price
3774,4,3,49,13.57,6,548065.0
4107,3,3,44,32.59,6,489691.02
1460,3,1,4,10.93,8,345303.35
1894,1,4,32,27.58,9,280617.1
1730,6,3,0,30.65,2,249460.7
1695,5,1,17,24.23,9,407137.66
4372,4,1,31,19.39,10,725235.33
3692,2,4,46,17.06,9,602149.24
2238,6,2,48,14.61,10,445036.06
2769,6,3,10,37.25,10,548719.57
1066,3,4,20,33.39,7,247326.53
1838,1,1,25,38.64,1,98718.94
930,1,1,24,5.85,7,273082.97
2082,4,4,21,29.5,10,478901.29
2735,3,3,26,37.6,5,369582.88
4044,6,2,48,8.07,6,627916.35
3771,5,2,12,3.59,10,730788.1
3519,3,1,32,29.9,7,435268.69
4335,4,3,33,23.4,5,600773.55
730,4,2,40,33.83,7,146562.17
2285,3,3,34,6.45,9,438023.59
3980,4,3,0,32.02,3,545128.43
1369,3,1,20,8.86,8,383051.93
2991,2,2,47,7.38,2,383188.83
2115,3,4,5,7.41,7,443648.72
4085,3,1,27,32.77,2,481956.45
3453,4,2,16,26.94,4,528983.93
3033,4,2,4,21.4,7,556200.13
1815,1,2,30,14.99,3,236102.94
1555,1,2,4,35.21,2,152164.84
2924,2,2,37,16.31,10,529563.3
1784,1,3,2,32.85,7,331766.12
1059,3,1,22,18.13,1,152620.14
3985,4,3,36,15.7,8,660003.07
621,1,4,36,19.04,3,127395.3
2900,1,2,9,12.75,2,365558.6
1347,2,1,9,30.16,3,214269.91
3504,6,2,18,20.61,5,561892.75
4232,2,1,16,10.06,8,722957.09
1074,3,3,20,36.08,10,268995.84
1682,4,1,13,15.97,7,406489.52
3158,2,4,8,22.2,7,535400.92
4353,1,4,45,36.35,7,547436.43
2647,4,1,0,25.35,8,471760.22
4147,4,1,44,5.56,1,500132.02
3347,1,1,12,37.65,4,409231.35
1575,2,1,3,25.48,6,298483.53
2406,1,4,0,14.06,9,479355.7
789,6,2,48,6.43,2,159870.34
3605,4,1,39,31.97,1,450450.65
3334,5,1,31,25.18,10,629449.2
3605,5,4,33,21.8,2,504677.25
1162,3,4,27,35.86,7,243425.58
2499,1,3,30,31.76,3,290092.71
4238,1,1,7,6.92,10,726177.24
1867,3,3,38,13.16,2,224463.32
3479,3,4,25,10.69,7,578531.01
2128,3,4,33,30.01,2,213767.71
3802,4,2,2,2.31,3,603447.28
4156,6,1,49,23.23,7,628571.63
4490,1,3,11,30.74,4,561964.68
1246,4,4,0,35.19,1,236754.95
2668,3,4,43,14.34,5,376034.06
3488,1,3,4,33.03,9,517056.17
2814,4,2,29,5.31,8,531626.96
1897,6,4,29,34.01,9,448523.85
3035,4,1,16,5.97,10,647787.69
1200,6,4,47,16.49,9,336497.96
2963,3,1,46,32.09,7,435684.13
2661,6,3,22,6.85,4,474047.8
841,1,1,14,9.94,5,176889.17
2641,3,3,36,29.17,1,317510.17
3424,1,1,20,29.08,1,374746.12
4017,5,3,13,26.0,3,521236.34
3212,2,1,1,28.06,8,560076.24
3545,6,2,10,22.17,2,550387.11
1963,2,1,38,10.82,4,254742.71
2739,2,1,37,14.48,2,330848.75
1990,6,2,33,8.08,5,397915.13
3603,3,4,37,36.43,9,566606.28
2078,5,4,49,23.75,1,242970.15
4099,1,1,33,16.63,5,507648.29
3156,4,2,17,19.02,9,568907.81
1375,1,1,29,37.94,1,108821.74
634,4,3,14,6.98,9,329936.24
2853,1,3,26,23.86,8,443584.16
3752,6,1,33,20.73,4,554066.82
2555,5,4,37,24.85,10,426526.93
2185,4,4,32,1.71,5,452397.23
4059,3,1,23,35.01,5,469856.51
3673,1,1,14,37.35,6,462505.24
1621,1,3,29,23.04,7,250829.42
4061,4,4,41,28.17,8,584556.1
3213,3,1,16,36.98,8,520941.11
1729,3,3,4,28.58,2,236993.2
4443,6,4,28,6.95,9,802182.56
4493,6,2,3,23.48,7,728564.27
2100,6,3,9,24.66,4,397156.51
1302,6,4,16,17.54,4,308691.92
3049,6,4,9,29.72,8,537586.92
3377,6,3,16,37.44,4,523527.22
2179,5,2,19,37.1,6,344424.37
761,3,3,23,18.58,5,144665.7
801,6,4,4,5.42,3,261735.84
2581,3,1,33,39.41,10,463720.78
1595,3,1,5,33.72,2,222114.09
2917,2,3,1,5.86,9,569425.82
1415,5,4,12,36.91,10,372040.19
3942,6,1,42,34.93,9,595076.05
1055,1,4,42,21.23,1,155815.73
4133,4,3,47,24.06,10,672768.71
4398,1,1,10,16.56,3,571258.49
1875,5,4,46,3.14,8,462069.24
1616,4,1,22,14.07,6,324901.94
4373,5,3,15,32.31,5,624710.52
2943,3,4,30,1.18,5,492317.88
4396,4,1,10,14.01,6,667355.79
3367,3,3,15,16.53,7,560101.89
4420,1,1,7,21.96,1,533832.82
937,1,1,3,36.87,9,224312.45
1478,4,2,39,14.51,3,248570.47
1676,4,2,3,14.53,4,321870.57
1391,6,3,24,29.76,10,384872.68
2864,5,2,2,18.64,1,353142.73
1363,6,3,31,9.76,10,446150.86
2835,5,2,2,18.65,3,459981.8
979,6,1,26,6.49,2,234186.74
1092,3,3,28,7.88,2,103454.61
3712,4,3,31,20.44,1,526500.38
1780,1,1,49,17.34,8,279567.08
2662,5,3,18,36.68,3,404988.01
4484,5,3,20,15.13,3,610049.42
664,1,2,4,23.64,6,191955.85
3168,6,3,17,25.66,8,544911.77
1967,5,4,27,1.51,9,476050.22
1752,3,1,41,26.88,9,375966.05
2627,4,2,21,7.94,4,422161.02
3295,1,2,20,38.48,5,414718.63
2095,4,4,5,6.8,2,401007.42
3734,5,1,0,17.17,9,687024.6
1762,5,1,4,4.33,8,446130.97
2122,1,2,40,39.88,3,204893.59
3240,3,3,11,20.59,9,653938.45
991,2,2,25,24.22,3,133141.4
2298,1,1,45,3.62,9,412253.01
1018,2,4,33,30.25,2,146558.49
2936,6,2,48,9.19,10,604519.98
978,2,1,13,36.02,9,265410.62
2396,3,2,25,9.0,8,475680.79
4161,6,3,44,8.44,9,683937.8
2878,2,2,26,2.43,5,503299.35
3665,6,2,8,19.41,2,498883.11
2688,2,1,25,23.03,8,438567.05
3699,3,1,46,3.56,6,520345.13
2782,2,1,21,31.25,8,424301.91
800,2,2,46,18.68,5,144167.21
2463,2,3,29,21.45,10,474072.67
1379,1,4,42,18.19,2,172663.25
3577,1,4,47,16.63,6,548576.94
3704,1,1,16,22.83,5,504021.1
3719,3,1,25,7.05,5,540819.38
1102,6,2,35,8.1,1,222424.62
3054,5,4,0,34.61,2,478640.02
4245,2,1,7,37.9,8,569325.51
2351,2,3,48,15.56,3,315144.34
1404,3,3,34,11.56,10,390617.58
2746,2,1,14,26.12,3,336303.14
3331,1,1,46,16.94,8,516639.62
2495,5,4,21,1.99,8,541423.16
3373,4,4,13,7.09,2,519302.42
2170,2,2,25,28.92,8,359400.55
1560,1,4,27,26.7,1,163422.29
4410,4,3,22,2.06,6,674169.89
3260,5,3,13,9.66,8,575356.19
2085,4,1,23,10.01,3,370505.36
3290,1,4,1,27.2,8,522881.62
4440,6,2,44,1.77,1,566636.45
1628,6,3,25,5.06,9,386607.71
3889,4,3,13,32.2,9,623519.33
1102,3,2,6,7.96,5,232639.2
3414,4,2,2,26.46,10,673797.71
997,2,3,46,10.29,4,201211.69
1470,2,3,22,4.88,6,296559.95
3442,6,2,45,10.48,7,640903.79
992,3,3,42,29.17,5,193571.94
806,1,1,46,34.37,10,159044.65
1638,2,1,44,33.38,9,194131.39
2481,6,2,17,16.49,3,473722.88
4225,5,4,37,27.06,7,605174.53
3539,6,2,34,8.99,10,615832.07
2084,2,2,14,12.43,10,482675.21
4362,2,4,24,35.96,5,648739.83
4246,6,4,36,1.51,7,771280.5
1463,1,4,27,4.33,2,244140.19
3390,4,1,9,9.11,4,540373.72
3912,2,3,38,2.03,2,538955.58
1163,6,1,16,8.08,7,360137.9
1620,6,3,38,23.74,2,252489.19
695,3,1,21,17.44,1,88437.14
2523,4,3,25,35.81,9,449846.71
2357,5,1,43,32.88,1,220520.32
3132,1,4,24,14.33,8,518592.56
4078,5,2,16,11.12,2,525777.51
2878,4,1,12,15.81,8,516889.8
3396,4,3,19,24.02,3,445308.51
2278,4,4,24,11.45,6,403616.12
3842,5,1,3,25.34,3,545582.31
1140,4,1,9,16.97,7,334642.43
1659,6,4,2,22.53,10,505304.9
3172,5,1,40,18.01,9,495502.65
1783,4,2,44,12.48,2,211060.74
2322,6,1,17,37.99,5,388388.94
3914,3,2,46,30.78,6,483253.81
3757,4,2,35,6.46,4,539439.97
2419,5,4,46,34.87,4,353605.94
3225,2,1,21,20.01,4,398425.12
3329,4,4,33,35.89,2,411422.42
3204,2,1,46,32.19,4,316973.35
2197,6,1,7,17.58,1,313140.65
3660,3,3,39,1.88,6,586602.7
3293,1,1,48,11.48,1,293674.15
1395,3,4,43,22.12,10,353804.91
1651,4,2,18,25.71,6,310266.74
2243,2,1,41,11.06,1,258590.65
4227,2,3,40,6.43,6,623870.21
1963,5,4,36,33.56,10,461578.51
4469,2,1,5,39.39,8,636057.52
2581,5,4,25,21.5,2,368583.04
1954,6,3,33,7.7,2,335410.19
2263,1,3,44,11.62,4,323808.98
2129,4,4,5,1.72,3,413152.71
2638,5,1,36,36.66,4,339133.62
4019,1,2,32,5.59,7,578239.52
2096,2,3,21,23.48,1,227422.62
3902,2,1,20,11.69,6,528941.46
2837,1,1,5,22.61,3,415894.95
3896,2,2,5,26.41,10,610690.62
2008,6,3,47,33.36,7,332273.02
2000,6,3,3,9.05,10,517321.71
1906,1,1,29,1.43,2,275495.64
3280,5,1,10,6.34,2,480905.16
3275,5,2,29,36.1,4,475680.44
1572,1,2,30,35.08,1,94731.0
2368,5,3,23,24.3,3,368282.05
1882,5,4,8,24.42,9,430729.19
4030,6,3,2,26.94,7,743613.4
1309,5,1,30,7.84,7,283853.35
2079,3,3,39,36.66,4,269619.46
2034,4,4,36,17.33,2,313763.18
1248,2,2,35,15.94,4,203817.97
917,3,4,23,21.24,6,229886.89
4348,5,4,30,2.83,3,648786.2
3896,6,4,5,7.49,1,600621.72
4490,1,2,1,29.78,8,657431.66
1857,5,4,19,4.23,5,435683.5
1283,6,4,27,24.52,5,356468.36
1263,4,4,10,10.57,4,281413.71
2598,5,1,3,16.18,6,432709.59
4498,1,4,14,12.26,3,608463.9
4045,6,2,5,14.87,9,812113.19
4343,6,4,48,29.04,5,590442.79
2231,6,4,29,12.59,3,439924.14
2095,4,2,37,23.09,1,292506.57
3904,5,4,1,19.57,10,724457.44
4363,4,2,14,26.88,6,656421.55
1736,2,4,10,37.54,2,266331.0
2453,2,2,7,29.57,3,312560.39
2120,5,4,25,9.38,1,330335.9
3089,4,4,44,2.22,9,569689.22
1163,1,1,43,11.23,8,203546.55
1891,6,1,4,24.21,2,282921.58
4181,6,4,5,3.01,8,747987.78
4478,5,4,25,20.36,9,752986.79
4057,2,3,3,24.28,1,484548.63
4058,2,2,18,14.04,5,585884.8
3784,6,3,19,31.07,8,587239.19
2236,5,1,32,5.16,2,344353.08
4296,4,1,19,3.93,4,654199.94
3599,2,1,48,29.4,7,408569.53
3752,4,1,11,20.32,3,526151.29
1298,2,4,46,27.85,5,231970.84
2760,2,1,0,17.96,8,452015.1
601,3,4,25,10.61,10,351272.97
1241,2,4,13,32.94,3,197628.09
2867,1,1,37,32.18,4,293946.6
2189,5,1,36,28.09,9,403774.02
1454,5,2,10,11.61,7,386195.66
2359,4,3,35,24.02,1,288812.67
3896,2,1,12,15.08,4,549987.72
3032,1,2,42,4.57,4,380790.54
4074,4,2,2,36.78,9,663022.75
2261,3,3,32,6.34,6,366068.75
1753,4,4,5,38.06,9,392375.08
1676,4,1,49,18.39,6,246517.21
2307,2,3,9,8.22,6,406723.64
3377,3,1,4,22.13,5,537987.45
2295,4,2,22,35.04,5,371527.08
2333,1,2,9,29.56,2,289842.22
2039,1,4,43,32.46,8,289270.91
2894,5,2,1,26.69,8,528556.37
